n,p,q,base,d,dx,dy,num_z_vars,exact,heuristic,ratio,log2_exact,log2_heuristic,rank1,time_s
15,3,5,2,4,3,3,8,14,16.00,0.8750,3.81,4.00,2,0.00
21,3,7,2,5,4,4,13,52,256.00,0.2031,5.70,8.00,2,0.00
35,5,7,2,6,4,4,15,144,512.00,0.2812,7.17,9.00,2,0.00
77,7,11,2,7,5,5,22,2336,32768.00,0.0713,11.19,15.00,2,0.03
143,11,13,2,8,5,5,24,12470,65536.00,0.1903,13.61,16.00,2,0.09
221,13,17,2,8,5,5,24,31744,65536.00,0.4844,14.95,16.00,2,0.15
323,17,19,2,9,6,6,33,764838,16777216.00,0.0456,19.54,24.00,2,14.11
15,3,5,3,3,3,3,6,24,578.70,0.0415,4.58,9.18,2,0.00
21,3,7,3,3,3,3,6,50,578.70,0.0864,5.64,9.18,2,0.00
35,5,7,3,4,3,3,8,63,4822.53,0.0131,5.98,12.24,2,0.00
77,7,11,3,4,3,3,8,507,4822.53,0.1051,8.99,12.24,2,0.00
143,11,13,3,5,4,4,13,7401,5023469.65,0.0015,12.85,22.26,2,1.45
221,13,17,3,5,4,4,13,45583,5023469.65,0.0091,15.48,22.26,2,1.72
323,17,19,3,6,4,4,15,162821,41862247.09,0.0039,17.31,25.32,2,14.11
15,3,5,5,2,2,2,3,10,196.52,0.0509,3.32,7.62,2,0.00
21,3,7,5,2,2,2,3,14,196.52,0.0712,3.81,7.62,2,0.00
35,5,7,5,3,3,3,6,44,193100.55,0.0002,5.46,17.56,2,0.14
77,7,11,5,3,3,3,6,235,193100.55,0.0012,7.88,17.56,2,0.10
143,11,13,5,4,3,3,8,1362,11161211.91,0.0001,10.41,23.41,2,5.86
221,13,17,5,4,3,3,8,6672,11161211.91,0.0006,12.70,23.41,2,7.77
323,17,19,5,4,3,3,8,17224,11161211.91,0.0015,14.07,23.41,2,5.79
15,3,5,10,2,2,2,3,3,5513.68,0.0005,1.58,12.43,2,0.00
21,3,7,10,2,2,2,3,6,5513.68,0.0011,2.58,12.43,2,0.01
35,5,7,10,2,2,2,3,10,5513.68,0.0018,3.32,12.43,2,0.00
77,7,11,10,2,2,2,3,36,5513.68,0.0065,5.17,12.43,2,0.00
143,11,13,10,3,3,3,6,137,304006671.42,0.0000,7.10,28.18,2,282.67
