bits,base,runtime_seconds,success
20,raw,0.0269,True
24,raw,0.028,True
28,raw,0.0802,True
32,raw,1.7024,True
36,raw,0.3793,True
40,raw,30.0028,False
20,2,0.0252,True
24,2,0.0745,True
28,2,0.3626,True
32,2,3.6944,True
36,2,4.8713,True
40,2,11.6984,True
20,4,0.0322,True
24,4,0.0518,True
28,4,0.3534,True
32,4,3.8726,True
36,4,20.4076,True
40,4,19.1227,True
20,8,0.0289,True
24,8,0.0259,True
28,8,0.1849,True
32,8,1.195,True
36,8,4.8701,True
40,8,9.8854,True
20,16,0.0247,True
24,16,0.0861,True
28,16,0.5963,True
32,16,2.0131,True
36,16,16.9263,True
40,16,6.9479,True
20,32,0.0321,True
24,32,0.0728,True
28,32,0.1564,True
32,32,1.7863,True
36,32,2.7409,True
40,32,14.6795,True
20,64,0.0277,True
24,64,0.092,True
28,64,0.2438,True
32,64,1.0723,True
36,64,2.3764,True
40,64,30.0029,False
20,128,0.0315,True
24,128,0.0288,True
28,128,0.1951,True
32,128,2.939,True
36,128,10.997,True
40,128,16.1925,True
20,256,0.0288,True
24,256,0.0906,True
28,256,0.1756,True
32,256,2.5618,True
36,256,7.299,True
40,256,22.6193,True
20,512,0.0401,True
24,512,0.0719,True
28,512,0.274,True
32,512,2.1103,True
36,512,11.3329,True
40,512,15.9101,True
20,1024,0.0185,True
24,1024,0.06,True
28,1024,0.4056,True
32,1024,0.4926,True
36,1024,4.7003,True
40,1024,22.5705,True
