bits,sample,n,p,q,base,depth,leak_fraction_equiv,success,factor_found,runtime_s,iterations,notes
32,0,2369625997,48541,48817,10,1,0.2076,True,48541,0.0004,1,"found via digit enum (depth=1) + lattice: x_low=1, pairs_tried=1, lattice_calls=1"
32,0,2369625997,48541,48817,10,2,0.4152,True,48541,0.0005,5,"found via digit enum (depth=2) + lattice: x_low=41, pairs_tried=5, lattice_calls=9"
32,0,2369625997,48541,48817,10,3,0.6229,True,48541,0.0026,46,"found via digit enum (depth=3) + lattice: x_low=541, pairs_tried=46, lattice_calls=91"
32,1,2267623789,44017,51517,10,1,0.2076,True,44017,0.001,3,"found via digit enum (depth=1) + lattice: x_low=7, pairs_tried=3, lattice_calls=4"
32,1,2267623789,44017,51517,10,2,0.4152,True,44017,0.0017,22,"found via digit enum (depth=2) + lattice: x_low=17, pairs_tried=22, lattice_calls=41"
32,1,2267623789,44017,51517,10,3,0.6229,True,44017,0.0089,211,"found via digit enum (depth=3) + lattice: x_low=17, pairs_tried=211, lattice_calls=421"
32,2,2160758659,43037,50207,10,1,0.2076,True,43037,0.001,3,"found via digit enum (depth=1) + lattice: x_low=7, pairs_tried=3, lattice_calls=4"
32,2,2160758659,43037,50207,10,2,0.4152,True,43037,0.0017,21,"found via digit enum (depth=2) + lattice: y_low=37, pairs_tried=21, lattice_calls=42"
32,2,2160758659,43037,50207,10,3,0.6229,True,43037,0.0087,203,"found via digit enum (depth=3) + lattice: y_low=37, pairs_tried=203, lattice_calls=406"
32,3,1383830389,34183,40483,10,1,0.2076,True,34183,0.0006,2,"found via digit enum (depth=1) + lattice: x_low=3, pairs_tried=2, lattice_calls=3"
32,3,1383830389,34183,40483,10,2,0.4152,True,34183,0.0013,19,"found via digit enum (depth=2) + lattice: x_low=83, pairs_tried=19, lattice_calls=36"
32,3,1383830389,34183,40483,10,3,0.6229,True,34183,0.0075,182,"found via digit enum (depth=3) + lattice: x_low=183, pairs_tried=182, lattice_calls=363"
32,4,2485386863,42727,58169,10,1,0.2076,True,42727,0.0013,3,"found via digit enum (depth=1) + lattice: x_low=7, pairs_tried=3, lattice_calls=5"
32,4,2485386863,42727,58169,10,2,0.4152,True,42727,0.002,23,"found via digit enum (depth=2) + lattice: x_low=27, pairs_tried=23, lattice_calls=45"
32,4,2485386863,42727,58169,10,3,0.6229,True,42727,0.0095,228,"found via digit enum (depth=3) + lattice: x_low=727, pairs_tried=228, lattice_calls=455"
32,5,3026043079,49639,60961,10,1,0.2076,True,49639,0.0006,1,"found via digit enum (depth=1) + lattice: y_low=9, pairs_tried=1, lattice_calls=2"
32,5,3026043079,49639,60961,10,2,0.4152,True,49639,0.0007,7,"found via digit enum (depth=2) + lattice: y_low=39, pairs_tried=7, lattice_calls=14"
32,5,3026043079,49639,60961,10,3,0.6229,True,49639,0.0032,70,"found via digit enum (depth=3) + lattice: y_low=639, pairs_tried=70, lattice_calls=140"
32,6,2213045251,41411,53441,10,1,0.2076,True,41411,0.0002,1,"found via digit enum (depth=1) + lattice: x_low=1, pairs_tried=1, lattice_calls=1"
32,6,2213045251,41411,53441,10,2,0.4152,True,41411,0.0001,2,"found via digit enum (depth=2) + lattice: x_low=11, pairs_tried=2, lattice_calls=3"
32,6,2213045251,41411,53441,10,3,0.6229,True,41411,0.0008,15,"found via digit enum (depth=3) + lattice: x_low=411, pairs_tried=15, lattice_calls=29"
32,7,1749514913,33049,52937,10,1,0.2076,True,33049,0.0013,3,"found via digit enum (depth=1) + lattice: y_low=9, pairs_tried=3, lattice_calls=6"
32,7,1749514913,33049,52937,10,2,0.4152,True,33049,0.0019,24,"found via digit enum (depth=2) + lattice: y_low=49, pairs_tried=24, lattice_calls=48"
32,7,1749514913,33049,52937,10,3,0.6229,True,33049,0.01,240,"found via digit enum (depth=3) + lattice: y_low=49, pairs_tried=240, lattice_calls=480"
32,8,2171778779,38351,56629,10,1,0.2076,True,38351,0.0002,1,"found via digit enum (depth=1) + lattice: x_low=1, pairs_tried=1, lattice_calls=1"
32,8,2171778779,38351,56629,10,2,0.4152,True,38351,0.0005,6,"found via digit enum (depth=2) + lattice: x_low=51, pairs_tried=6, lattice_calls=11"
32,8,2171778779,38351,56629,10,3,0.6229,True,38351,0.0024,54,"found via digit enum (depth=3) + lattice: x_low=351, pairs_tried=54, lattice_calls=107"
32,9,2579706127,47933,53819,10,1,0.2076,True,47933,0.0008,2,"found via digit enum (depth=1) + lattice: x_low=3, pairs_tried=2, lattice_calls=3"
32,9,2579706127,47933,53819,10,2,0.4152,True,47933,0.0011,14,"found via digit enum (depth=2) + lattice: x_low=33, pairs_tried=14, lattice_calls=27"
32,9,2579706127,47933,53819,10,3,0.6229,True,47933,0.0067,140,"found via digit enum (depth=3) + lattice: x_low=933, pairs_tried=140, lattice_calls=279"
48,0,150774573015809,12133463,12426343,10,1,0.1384,False,,0.0031,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
48,0,150774573015809,12133463,12426343,10,2,0.2768,False,,0.0381,40,"exhausted 40 digit pairs at depth=2, 76 lattice calls, 0.0s"
48,0,150774573015809,12133463,12426343,10,3,0.4152,False,,0.4047,400,"exhausted 400 digit pairs at depth=3, 792 lattice calls, 0.4s"
48,1,139278653193077,8624807,16148611,10,1,0.1384,False,,0.0041,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
48,1,139278653193077,8624807,16148611,10,2,0.2768,False,,0.0401,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,1,139278653193077,8624807,16148611,10,3,0.4152,True,8624807,0.018,17,"found via digit enum (depth=3) + lattice: y_low=807, pairs_tried=17, lattice_calls=34"
48,2,128744933196349,8724497,14756717,10,1,0.1384,False,,0.003,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
48,2,128744933196349,8724497,14756717,10,2,0.2768,False,,0.0387,40,"exhausted 40 digit pairs at depth=2, 76 lattice calls, 0.0s"
48,2,128744933196349,8724497,14756717,10,3,0.4152,True,8724497,0.226,218,"found via digit enum (depth=3) + lattice: y_low=497, pairs_tried=218, lattice_calls=436"
48,3,145057780025803,8750881,16576363,10,1,0.1384,False,,0.0041,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
48,3,145057780025803,8750881,16576363,10,2,0.2768,False,,0.041,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,3,145057780025803,8750881,16576363,10,3,0.4152,True,8750881,0.0949,89,"found via digit enum (depth=3) + lattice: x_low=881, pairs_tried=89, lattice_calls=177"
48,4,96713544277811,9793373,9875407,10,1,0.1384,False,,0.003,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
48,4,96713544277811,9793373,9875407,10,2,0.2768,False,,0.0404,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,4,96713544277811,9793373,9875407,10,3,0.4152,True,9793373,0.1733,174,"found via digit enum (depth=3) + lattice: x_low=373, pairs_tried=174, lattice_calls=347"
48,5,80432290099963,8399119,9576277,10,1,0.1384,False,,0.0041,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
48,5,80432290099963,8399119,9576277,10,2,0.2768,False,,0.0418,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,5,80432290099963,8399119,9576277,10,3,0.4152,True,8399119,0.2549,273,"found via digit enum (depth=3) + lattice: y_low=119, pairs_tried=273, lattice_calls=546"
48,6,121129511159317,10983067,11028751,10,1,0.1384,False,,0.0041,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
48,6,121129511159317,10983067,11028751,10,2,0.2768,False,,0.0418,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,6,121129511159317,10983067,11028751,10,3,0.4152,False,,0.4184,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.4s"
48,7,85769561357461,9221999,9300539,10,1,0.1384,False,,0.003,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
48,7,85769561357461,9221999,9300539,10,2,0.2768,False,,0.0394,40,"exhausted 40 digit pairs at depth=2, 76 lattice calls, 0.0s"
48,7,85769561357461,9221999,9300539,10,3,0.4152,True,9221999,0.3233,336,"found via digit enum (depth=3) + lattice: y_low=999, pairs_tried=336, lattice_calls=672"
48,8,216665271143719,14497151,14945369,10,1,0.1384,False,,0.003,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
48,8,216665271143719,14497151,14945369,10,2,0.2768,False,,0.0402,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,8,216665271143719,14497151,14945369,10,3,0.4152,False,,0.4312,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.4s"
48,9,178388289910583,12680851,14067533,10,1,0.1384,False,,0.0053,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
48,9,178388289910583,12680851,14067533,10,2,0.2768,False,,0.0453,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
48,9,178388289910583,12680851,14067533,10,3,0.4152,False,,0.4121,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.4s"
64,0,10189518990668179243,3184935163,3199286161,10,1,0.1038,False,,0.0046,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
64,0,10189518990668179243,3184935163,3199286161,10,2,0.2076,False,,0.0451,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,0,10189518990668179243,3184935163,3199286161,10,3,0.3114,False,,0.4577,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,1,9466690633287236819,2207950513,4287546563,10,1,0.1038,False,,0.0034,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,1,9466690633287236819,2207950513,4287546563,10,2,0.2076,False,,0.0447,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,1,9466690633287236819,2207950513,4287546563,10,3,0.3114,False,,0.4524,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,2,5389090008060221459,2206381423,2442501533,10,1,0.1038,False,,0.0034,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,2,5389090008060221459,2206381423,2442501533,10,2,0.2076,False,,0.0458,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,2,5389090008060221459,2206381423,2442501533,10,3,0.3114,False,,0.4526,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,3,10585974438013250261,3193182737,3315179653,10,1,0.1038,False,,0.0033,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,3,10585974438013250261,3193182737,3315179653,10,2,0.2076,False,,0.0433,40,"exhausted 40 digit pairs at depth=2, 76 lattice calls, 0.0s"
64,3,10585974438013250261,3193182737,3315179653,10,3,0.3114,False,,0.4546,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,4,7058483610496610231,2520725653,2800179227,10,1,0.1038,False,,0.0034,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,4,7058483610496610231,2520725653,2800179227,10,2,0.2076,False,,0.045,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,4,7058483610496610231,2520725653,2800179227,10,3,0.3114,False,,0.4512,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,5,7878331630988478859,2249101969,3502878811,10,1,0.1038,False,,0.0034,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,5,7878331630988478859,2249101969,3502878811,10,2,0.2076,False,,0.0448,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,5,7878331630988478859,2249101969,3502878811,10,3,0.3114,False,,0.4516,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,6,15081561244670788237,3752119477,4019477881,10,1,0.1038,False,,0.0045,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
64,6,15081561244670788237,3752119477,4019477881,10,2,0.2076,False,,0.0451,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,6,15081561244670788237,3752119477,4019477881,10,3,0.3114,False,,0.4504,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,7,13411343463330426827,3469218451,3865811177,10,1,0.1038,False,,0.0045,4,"exhausted 4 digit pairs at depth=1, 8 lattice calls, 0.0s"
64,7,13411343463330426827,3469218451,3865811177,10,2,0.2076,False,,0.0446,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,7,13411343463330426827,3469218451,3865811177,10,3,0.3114,False,,0.4519,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.5s"
64,8,12949919596973783239,3293821231,3931579369,10,1,0.1038,False,,0.0033,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,8,12949919596973783239,3293821231,3931579369,10,2,0.2076,False,,0.0449,40,"exhausted 40 digit pairs at depth=2, 80 lattice calls, 0.0s"
64,8,12949919596973783239,3293821231,3931579369,10,3,0.3114,False,,0.4499,400,"exhausted 400 digit pairs at depth=3, 800 lattice calls, 0.4s"
64,9,5343762142692946201,2269222811,2354886491,10,1,0.1038,False,,0.0033,4,"exhausted 4 digit pairs at depth=1, 6 lattice calls, 0.0s"
64,9,5343762142692946201,2269222811,2354886491,10,2,0.2076,False,,0.0425,40,"exhausted 40 digit pairs at depth=2, 76 lattice calls, 0.0s"
64,9,5343762142692946201,2269222811,2354886491,10,3,0.3114,False,,0.4453,400,"exhausted 400 digit pairs at depth=3, 792 lattice calls, 0.4s"
