bits,seed,algorithm,n,success,runtime_seconds,iteration_count,gcd_calls,modular_multiplies
16,0,trial_division,31553,True,1.5e-05,48,0,46
16,0,pollard_rho,31553,True,2.8e-05,31,12,131
16,0,pollard_pm1,31553,False,0.000362,50,1,497
16,0,ecm,31553,True,0.000467,253,4,2918
16,1,trial_division,31459,True,7e-06,56,0,54
16,1,pollard_rho,31459,True,9e-06,7,3,28
16,1,pollard_pm1,31459,False,0.000337,50,1,497
16,1,ecm,31459,True,0.000452,242,3,2792
16,2,trial_division,22499,True,6e-06,51,0,49
16,2,pollard_rho,22499,True,7e-06,7,3,28
16,2,pollard_pm1,22499,False,0.000325,50,1,497
16,2,ecm,22499,True,0.000451,242,3,2792
16,3,trial_division,20989,True,5e-06,48,0,46
16,3,pollard_rho,20989,True,7e-06,7,3,28
16,3,pollard_pm1,20989,False,0.000337,50,1,497
16,3,ecm,20989,True,0.00539,14309,1233,163794
16,4,trial_division,57479,True,7e-06,78,0,76
16,4,pollard_rho,57479,True,1.7e-05,31,7,126
16,4,pollard_pm1,57479,False,0.000342,50,1,497
16,4,ecm,57479,True,0.000445,242,3,2792
16,5,trial_division,46513,True,6e-06,66,0,64
16,5,pollard_rho,46513,True,1e-05,15,4,60
16,5,pollard_pm1,46513,False,0.000334,50,1,497
16,5,ecm,46513,True,0.005312,14309,1233,163794
16,6,trial_division,31439,True,5e-06,51,0,49
16,6,pollard_rho,31439,True,7e-06,7,3,28
16,6,pollard_pm1,31439,False,0.00032,50,1,497
16,6,ecm,31439,True,0.005322,14309,1233,163794
16,7,trial_division,35237,True,6e-06,57,0,55
16,7,pollard_rho,35237,True,7e-06,7,4,29
16,7,pollard_pm1,35237,False,0.000321,50,1,497
16,7,ecm,35237,True,0.005479,14297,1232,163657
16,8,trial_division,40363,True,8e-06,62,0,60
16,8,pollard_rho,40363,True,1.2e-05,15,6,62
16,8,pollard_pm1,40363,False,0.000326,50,1,497
16,8,ecm,40363,True,0.000425,230,2,2655
16,9,trial_division,35011,True,6e-06,54,0,52
16,9,pollard_rho,35011,True,6e-06,7,3,28
16,9,pollard_pm1,35011,False,0.000323,50,1,497
16,9,ecm,35011,True,0.000429,242,3,2792
16,10,trial_division,34387,True,5e-06,47,0,45
16,10,pollard_rho,34387,True,1.2e-05,31,6,125
16,10,pollard_pm1,34387,False,0.000331,50,1,497
16,10,ecm,34387,True,0.000424,242,3,2792
16,11,trial_division,26069,True,5e-06,45,0,43
16,11,pollard_rho,26069,True,6e-06,7,3,28
16,11,pollard_pm1,26069,False,0.00032,50,1,497
16,11,ecm,26069,True,0.000413,230,2,2655
16,12,trial_division,25807,True,5e-06,45,0,43
16,12,pollard_rho,25807,True,6e-06,7,6,31
