bits,seed,algorithm,n,success,runtime_seconds,iteration_count,gcd_calls,modular_multiplies
16,0,smt_convolution_raw,31553,True,0.018451,1,0,0
16,0,smt_convolution_b16,31553,True,0.011759,1,0,4
16,0,smt_convolution_b256,31553,True,0.013164,1,0,2
16,1,smt_convolution_raw,31459,True,0.013149,1,0,0
16,1,smt_convolution_b16,31459,True,0.010469,1,0,4
16,1,smt_convolution_b256,31459,True,0.009205,1,0,2
16,2,smt_convolution_raw,22499,True,0.007211,1,0,0
16,2,smt_convolution_b16,22499,True,0.010219,1,0,4
16,2,smt_convolution_b256,22499,True,0.011893,1,0,2
16,3,smt_convolution_raw,20989,True,0.008894,1,0,0
16,3,smt_convolution_b16,20989,True,0.007049,1,0,4
16,3,smt_convolution_b256,20989,True,0.006414,1,0,2
16,4,smt_convolution_raw,57479,True,0.011155,1,0,0
16,4,smt_convolution_b16,57479,True,0.010254,1,0,4
16,4,smt_convolution_b256,57479,True,0.011763,1,0,2
16,5,smt_convolution_raw,46513,True,0.014394,1,0,0
16,5,smt_convolution_b16,46513,True,0.012481,1,0,4
16,5,smt_convolution_b256,46513,True,0.008137,1,0,2
16,6,smt_convolution_raw,31439,True,0.006805,1,0,0
16,6,smt_convolution_b16,31439,True,0.010282,1,0,4
16,6,smt_convolution_b256,31439,True,0.012654,1,0,2
16,7,smt_convolution_raw,35237,True,0.010517,1,0,0
16,7,smt_convolution_b16,35237,True,0.011344,1,0,4
16,7,smt_convolution_b256,35237,True,0.007042,1,0,2
16,8,smt_convolution_raw,40363,True,0.012645,1,0,0
16,8,smt_convolution_b16,40363,True,0.00659,1,0,4
16,8,smt_convolution_b256,40363,True,0.008335,1,0,2
16,9,smt_convolution_raw,35011,True,0.01113,1,0,0
16,9,smt_convolution_b16,35011,True,0.011644,1,0,4
16,9,smt_convolution_b256,35011,True,0.01196,1,0,2
16,10,smt_convolution_raw,34387,True,0.013326,1,0,0
16,10,smt_convolution_b16,34387,True,0.007143,1,0,4
16,10,smt_convolution_b256,34387,True,0.010494,1,0,2
16,11,smt_convolution_raw,26069,True,0.012159,1,0,0
16,11,smt_convolution_b16,26069,True,0.006897,1,0,4
16,11,smt_convolution_b256,26069,True,0.007051,1,0,2
16,12,smt_convolution_raw,25807,True,0.005927,1,0,0
16,12,smt_convolution_b16,25807,True,0.007663,1,0,4
16,12,smt_convolution_b256,25807,True,0.005809,1,0,2
16,13,smt_convolution_raw,52891,True,0.013628,1,0,0
16,13,smt_convolution_b16,52891,True,0.007574,1,0,4
16,13,smt_convolution_b256,52891,True,0.015491,1,0,2
16,14,smt_convolution_raw,28103,True,0.006121,1,0,0
16,14,smt_convolution_b16,28103,True,0.006509,1,0,4
16,14,smt_convolution_b256,28103,True,0.005891,1,0,2
16,15,smt_convolution_raw,23711,True,0.010349,1,0,0
16,15,smt_convolution_b16,23711,True,0.008109,1,0,4
16,15,smt_convolution_b256,23711,True,0.008303,1,0,2
16,16,smt_convolution_raw,58483,True,0.011545,1,0,0
16,16,smt_convolution_b16,58483,True,0.006249,1,0,4
16,16,smt_convolution_b256,58483,True,0.007279,1,0,2
16,17,smt_convolution_raw,34081,True,0.006905,1,0,0
16,17,smt_convolution_b16,34081,True,0.012222,1,0,4
16,17,smt_convolution_b256,34081,True,0.011912,1,0,2
16,18,smt_convolution_raw,44929,True,0.010843,1,0,0
16,18,smt_convolution_b16,44929,True,0.008997,1,0,4
16,18,smt_convolution_b256,44929,True,0.006597,1,0,2
16,19,smt_convolution_raw,24047,True,0.009029,1,0,0
16,19,smt_convolution_b16,24047,True,0.008114,1,0,4
16,19,smt_convolution_b256,24047,True,0.006234,1,0,2
16,20,smt_convolution_raw,32899,True,0.007508,1,0,0
16,20,smt_convolution_b16,32899,True,0.012931,1,0,4
16,20,smt_convolution_b256,32899,True,0.012247,1,0,2
16,21,smt_convolution_raw,40913,True,0.009411,1,0,0
16,21,smt_convolution_b16,40913,True,0.01027,1,0,4
16,21,smt_convolution_b256,40913,True,0.011672,1,0,2
16,22,smt_convolution_raw,37979,True,0.008904,1,0,0
16,22,smt_convolution_b16,37979,True,0.006854,1,0,4
16,22,smt_convolution_b256,37979,True,0.009007,1,0,2
16,23,smt_convolution_raw,45571,True,0.013031,1,0,0
16,23,smt_convolution_b16,45571,True,0.008185,1,0,4
16,23,smt_convolution_b256,45571,True,0.006872,1,0,2
16,24,smt_convolution_raw,33823,True,0.013432,1,0,0
16,24,smt_convolution_b16,33823,True,0.007855,1,0,4
16,24,smt_convolution_b256,33823,True,0.011698,1,0,2
16,25,smt_convolution_raw,25807,True,0.006499,1,0,0
16,25,smt_convolution_b16,25807,True,0.006247,1,0,4
16,25,smt_convolution_b256,25807,True,0.006103,1,0,2
16,26,smt_convolution_raw,44503,True,0.01057,1,0,0
16,26,smt_convolution_b16,44503,True,0.011839,1,0,4
16,26,smt_convolution_b256,44503,True,0.011985,1,0,2
16,27,smt_convolution_raw,41917,True,0.012529,1,0,0
16,27,smt_convolution_b16,41917,True,0.01117,1,0,4
16,27,smt_convolution_b256,41917,True,0.013885,1,0,2
16,28,smt_convolution_raw,29987,True,0.00741,1,0,0
16,28,smt_convolution_b16,29987,True,0.010497,1,0,4
16,28,smt_convolution_b256,29987,True,0.009252,1,0,2
16,29,smt_convolution_raw,19781,True,0.007791,1,0,0
16,29,smt_convolution_b16,19781,True,0.006387,1,0,4
16,29,smt_convolution_b256,19781,True,0.007507,1,0,2
16,30,smt_convolution_raw,21823,True,0.01062,1,0,0
16,30,smt_convolution_b16,21823,True,0.010394,1,0,4
16,30,smt_convolution_b256,21823,True,0.006425,1,0,2
16,31,smt_convolution_raw,20567,True,0.008436,1,0,0
16,31,smt_convolution_b16,20567,True,0.006322,1,0,4
16,31,smt_convolution_b256,20567,True,0.00911,1,0,2
16,32,smt_convolution_raw,24523,True,0.01174,1,0,0
16,32,smt_convolution_b16,24523,True,0.009541,1,0,4
16,32,smt_convolution_b256,24523,True,0.006462,1,0,2
16,33,smt_convolution_raw,49949,True,0.007124,1,0,0
16,33,smt_convolution_b16,49949,True,0.007086,1,0,4
16,33,smt_convolution_b256,49949,True,0.006031,1,0,2
16,34,smt_convolution_raw,33823,True,0.007572,1,0,0
16,34,smt_convolution_b16,33823,True,0.012109,1,0,4
16,34,smt_convolution_b256,33823,True,0.010433,1,0,2
16,35,smt_convolution_raw,36863,True,0.008317,1,0,0
16,35,smt_convolution_b16,36863,True,0.013283,1,0,4
16,35,smt_convolution_b256,36863,True,0.009209,1,0,2
16,36,smt_convolution_raw,58483,True,0.01164,1,0,0
16,36,smt_convolution_b16,58483,True,0.012773,1,0,4
16,36,smt_convolution_b256,58483,True,0.011032,1,0,2
16,37,smt_convolution_raw,36089,True,0.009205,1,0,0
16,37,smt_convolution_b16,36089,True,0.008254,1,0,4
